"Title","Release.Year","Locations","Fun.Facts","Production.Company","Distributor","Director","Writer","Actor.1","Actor.2","Actor.3","lon","lat"
"180",2011,"Epic Roasthouse (399 Embarcadero)","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3890417,37.7904926
"180",2011,"Mason & California Streets (Nob Hill)","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-84.309939,39.3600586
"180",2011,"Justin Herman Plaza","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3952007,37.7951195
"180",2011,"200 block Market Street","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3965345,37.7931317
"180",2011,"City Hall","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.4192646,37.7792597
"180",2011,"Polk & Larkin Streets","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-94.7419077,37.5433801
"180",2011,"Randall Museum","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.4381707,37.7644489
"180",2011,"555 Market St.","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3998704,37.7899845
"24 Hours on Craigslist",2005,"","","Yerba Buena Productions","Zealot Pictures","Michael Ferris Gibson","N/A","Craig Newmark","","",-122.4194155,37.7749295
"A Night Full of Rain",1978,"Embarcadero Freeway","Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.2495915,37.7876159
"A Night Full of Rain",1978,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.4104443,37.7923897
"A Night Full of Rain",1978,"San Francisco Chronicle (901 Mission Street at 15th Street)","The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.4065207,37.7822008
"A Night Full of Rain",1978,"Broadway (North Beach)","","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.4051988,37.7980657
"About a Boy",2014,"Broderick from Fulton to McAlister","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","",-122.4421325,37.7878648
"About a Boy",2014,"Crissy Field","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","",-122.4650165,37.8040257
"About a Boy",2014,"Powell from Bush and Sutter","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","",-122.408456,37.789146
"Age of Adaline",2015,"Pier 50- end of the pier","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.409821,37.808673
"Age of Adaline",2015,"California @ Montgomery","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.4036994,37.7973093
"Age of Adaline",2015,"Montgomery/Green","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.4042717,37.8001126
"Age of Adaline",2015,"Driving various SF Streets","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.41874,37.802139
"Age of Adaline",2015,"Plate Shots SF streets various","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.4203773,37.7451621
"After the Thin Man",1936,"Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","W.S. Van Dyke","Frances Goodrich","William Powell","Myrna Loy","James Stewart",-122.4058222,37.8023949
"Ant-Man",2015,"California between Kearney and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4194155,37.7749295
"Americana",2015,"St. Francis Episcopal Church (399 San Fernando Way)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4698138,37.7303176
"Americana",2015,"Romolo Place @ Fresno St.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4063965,37.7986013
"Americana",2015,"Palace of Fine Arts","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4486055,37.8020068
"Americana",2015,"John Shelley Drive John McLaren Park","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4187998,37.7221501
"Americana",2015,"Treasure Island","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.370648,37.8235515
"Americana",2015,"The San Francisco School (300 Gavin St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4113534,37.7327817
"Americana",2015,"33 Spruce St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4544114,37.7903388
"Americana",2015,"Coi Restaurant (373 Broadway)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4034273,37.7980647
"Americana",2015,"Foreign Cinema (2534 Mission)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4190452,37.7564872
"Americana",2015,"Bernal Heights Park","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4139925,37.7433416
"Americana",2015,"Jackson St. at Spruce","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4541352,37.7899861
"Americana",2015,"679 Madrid St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4347285,37.7187457
"Americana",2015,"Roxie Theater (3117 16th St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.422429,37.7646581
"Americana",2015,"Variety Preview Room (582 Market St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.401621,37.7894639
"Americana",2015,"Laguna Honda Hospital; 375 Laguna Honda Blvd.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.456924,37.7489202
"Americana",2015,"3232 Jackson Ave.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4487806,37.7908862
"Americana",2015,"20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-89.3985283,40.6331249
"Another 48 Hours",1990,"","","Eddie Murphy Productions","Paramount Pictures","Walter Hill","Walter Hill","Eddie Murphy","Nick Nolte","",-122.4194155,37.7749295
"Ant-Man",2015,"Conzelman Rd at McCollough Rd and down Conzelman Rd.","Aerial shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.493902,37.833609
"Ant-Man",2015,"Lombard at Hyde","","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4196461,37.8020026
"Ant-Man",2015,"601 Buena Vista Ave West at Java St.","","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4440326,37.766921
"Ant-Man",2015,"420 Jones St. at Ellis St.","","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.412723,37.7852042
"Ant-Man",2015,"Broadway between Powell and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4194155,37.7749295
"Ant-Man",2015,"Columbus between Bay and Washington","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-82.9987942,39.9611755
"Ant-Man",2015,"Pine between Kearney and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4194155,37.7749295
"Ant-Man",2015,"Market between Stuart and Van Ness","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.420773,37.7841403
"Ant-Man",2015,"Grant between Bush and Broadway","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4096207,37.7897897
"Ant-Man",2015,"Intersection of Broadway at Kearney","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.3987098,37.7884721
"Ant-Man",2015,"Intersection of California at Polk","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4186287,37.7761765
"Ant-Man",2015,"Treasure Island, Building #1, Ave of the Palms","Aerial and exterior shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.3707037,37.8172181
"Around the Fire",1998,"Ocean Beach","On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007. ","Paradigm Studio","Ardustry Home Entertainment","John Jacobsen","John Comerford","Tara Reid","","",-122.510734,37.7593921
"Attack of the Killer Tomatoes",1978,"Hyde Street Cable Car","SF Cable Cars are the only moving National Historical Landmark.","Four Square Productions","NAI Entertainment","John DeBello","John DeBello","David Miller","","",-122.4194215,37.8018748
